ID|Gender|Birth_TS|Name|Phone|ID_Card
1|1|794793600|赵大宝|13900001001|320101199503101234
2|0|901065600|钱小花|13900001002|320101199807221235
3|1|594691200|孙铁柱|13900001003|320101198811051236
4|0|947894400|李翠花|13900001004|320101200001151237
5|1|173318400|周大牛|13900001005|320101197506301238
6|0|1031443200|吴小燕|13900001006|320101200209081239
7|1|703555200|郑明|13900001007|320101199204181240
8|0|504316800|王芳|13900001008|320101198512251241
9|1|19267200|冯刚|13900001009|320101197008121242
10|0|825465600|陈小红|13900001010|320101199602281243
11|1|326160000|褚卫东|13900001011|320101198005031244
12|0|751075200|卫兰|13900001012|320101199310201245
13|1|995068800|蒋天宇|13900001013|320101200107141246
14|0|915148800|沈佳宜|13900001014|320101199901011247
15|1|259372800|韩磊|13900001015|320101197803221248
16|0|1054857600|杨玉环|13900001016|320101200306061249
17|1|21686400|朱洪武|13900001017|320101196509091250
18|0|658281600|秦淑仪|13900001018|320101199011111251
19|1|386726400|许仙|13900001019|320101198204041252
20|0|534729600|白素贞|13900001020|320101198612121253
